V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
21.22665279	9.045724067	524.4145459	0.018042873	5.273517256	25.35942213	-12618.95777	-30.59448223	6.87276846	256.4419709	259.2959047	-17.98509543	-0.009227163	50.80409453	-0.436570021
20.54946629	5.541855015	758.9113758	0.092924796	2.70087663	26.7636651	-8313.660939	-16.60487469	33.53348469	251.6522672	178.7110662	-17.23595093	0.203514997	33.34928183	-0.048962679
21.59991647	7.40156912	551.3477651	0.045085964	0.065637841	21.03170545	13682.4267	-9.337775981	43.07814293	263.9113086	209.2237912	-17.47641527	0.126128354	41.2417606	0.50428928
23.24554069	12.59229157	630.2011856	0.262688557	-1.770726888	20.03758482	-12320.97866	-8.722272027	18.21496598	267.0521801	24.79226743	-17.70130641	0.194729138	69.1008529	-0.17758596
15.05319097	-0.777688168	352.4553881	0.476662835	1.058297392	22.85145251	1324.12046	-4.033040838	21.07895434	275.2933195	441.9448448	-16.11217708	0.172991104	58.45778926	-0.81800563
22.42800447	14.50397598	398.4185122	0.288957293	9.178997933	24.90149355	-2185.11481	3.098004718	11.52713727	278.9740248	284.7329028	-16.94483325	0.230489396	64.59382006	-0.344735876
25.77457386	4.148489604	511.7714324	0.251789079	4.102678005	20.30991177	-6033.133665	1.412929573	38.04108612	272.7363448	482.105588	-14.79374498	0.430377419	46.8244276	0.377701767
24.22847359	9.61121709	551.3195819	0.52797623	1.00581349	15.37851151	10184.23561	14.1112661	79.60075316	289.8992488	616.8002734	-15.00725298	0.765845945	79.22515807	-0.212847566
17.21918987	16.35990815	648.0021007	0.696293074	14.73602469	28.23050791	1342.276243	11.96403745	88.74146033	286.3583561	1066.206813	-13.47875709	0.94867327	39.42054178	1.5447374
24.45836205	8.031311797	508.5055282	0.922741899	15.28637765	13.98205435	-20189.75378	20.08214452	152.1097541	310.7025014	862.8531913	-14.15259231	1.152104213	56.60649498	1.314811804
26.37092671	35.3530761	732.0955399	1.214804094	4.801845506	21.97351988	-13757.0083	19.92987701	103.1434055	302.2523002	894.5104714	-13.00914649	1.589082501	61.84369086	3.126243231
30.9160461	43.50615901	477.3787372	1.447990527	34.45199876	19.23964587	-2102.238211	17.25068424	100.8405795	297.1749863	1525.852249	-12.15552098	1.698793292	56.04787358	2.037456817
25.63127507	9.010812681	373.0302188	1.781369377	24.66510591	13.04683164	8719.494861	21.35075867	142.4017482	318.069739	1569.180932	-11.93698301	1.647671166	84.18716552	3.458780789
29.62247767	52.86692956	540.1885448	2.369102158	30.65460945	11.18520261	21852.96339	33.76455341	163.0399922	297.194791	1861.425521	-11.60814275	1.896873709	78.60469913	4.00908841
31.55500617	36.89985648	501.9630956	2.635110917	28.20012034	12.27733139	13900.87105	34.9290968	147.0413449	346.6275446	2145.305563	-11.57893149	1.814508201	74.98378009	3.932142961
26.82348376	57.93737803	653.4672835	2.970564667	32.2945578	8.692790812	-6045.924821	45.50033931	165.1632463	321.1826105	2214.756882	-9.968532535	1.982052627	91.33348778	4.991974265
30.75894962	52.83717591	595.4004722	3.084711189	32.97732134	12.5098688	-9910.043612	48.05315896	254.0640394	329.2151264	2820.538327	-9.708650137	2.033350509	87.93310302	5.91340371
30.98399262	56.28940809	553.0750535	3.449335187	34.65454912	1.452031582	6845.856449	45.97574001	210.7689657	351.3868215	2876.629733	-11.88886815	1.893752464	94.0743406	5.967817548
33.10070129	70.66949144	730.60658	3.729918361	39.58790896	3.641412525	13098.43717	49.95112881	327.2405096	354.7528368	3361.975823	-10.26046821	2.009580976	102.4655741	6.056662878
35.27667518	64.84686091	746.3007773	3.720687139	52.31189651	8.579199139	10051.72094	57.21175824	307.0604098	335.7088063	3925.319775	-7.777460492	1.878607547	93.40962956	5.89920867
40.46139357	87.37092255	690.1285668	3.709171024	53.93898357	10.95386699	28168.33664	62.58110181	345.3395282	349.6604841	4084.207221	-7.38530811	1.946297292	109.990621	6.042627284
31.49892793	99.812235	783.768127	3.859658924	49.6566417	-3.447905096	40810.18549	69.60295202	362.833808	348.9801286	4201.176851	-7.659131122	1.85971906	126.4068026	6.311780093
38.77894552	76.99119049	793.3626034	3.838362558	50.43630806	3.374789443	52280.33145	78.31881621	394.9211917	352.2311093	4711.546901	-6.524011485	1.859391805	142.2779589	6.719605452
35.96159282	118.0481557	871.6104386	3.953227404	60.97983703	-3.287770073	50549.89517	72.72463348	459.5791687	370.8448079	5173.137006	-6.437069926	1.927044508	161.3676463	5.970171913
39.69745106	108.3804805	1138.785416	4.069851701	49.19502125	1.877920564	76026.47611	76.74182217	488.9939099	347.3770062	5716.086945	-6.44213488	1.829556649	188.285634	7.222019389
37.41657668	136.1249399	1015.668196	4.231352716	52.73975712	-1.895331202	100852.3712	86.98706148	518.4118814	381.9204791	6196.818685	-6.161693302	2.161090055	231.004442	6.867481615
48.64477581	138.7655378	1173.939267	4.044105105	54.47701349	4.235256222	132343.6644	90.39698273	528.0864031	364.4916732	6549.75529	-6.84187589	1.790110157	242.0484122	7.579934774
40.88924956	147.7148788	1468.959069	3.996401114	50.59647418	-6.716653881	183329.3864	89.73307534	621.473576	394.7894399	7249.675561	-6.677253037	2.094737049	285.9347483	6.955835723
41.50034334	154.3337033	1689.209204	4.095553622	54.68987714	-8.853588745	275037.7045	94.47857302	604.3928331	382.8835449	7632.605143	-3.849041151	1.898266937	334.1607183	7.287219853
41.51977589	166.3554257	1877.7805	3.912158186	41.72869251	-5.146343744	385758.2445	94.25366782	662.6447407	396.3557156	8148.958203	-4.316102278	2.078018159	417.163427	7.603301826
